Order,State,Drug Used Past year,"12 or Older
Estimate (Past year)",12 or Older past year (min),12 or Older past year (max),"12-17
Estimate (past year)","12-17
past year (min)","12-17
 past year (max)","18-25
Estimate (Past year)","18-25
past year (min)","18-25
 past year (max)","26 or Older
Estimate (Past year)","26 or Older
past year (min)","26 or Older
 past year (max)","18 or Older
Estimate (Past year)","18 or Older
past year (min)","18 or Older
 past year (max)",Drugs Used Past Month,"12 or Older
Estimate (Past Month)",12 or Older past Month (min),12 or Older past Month (max),"12-17
Estimate (past Month)","12-17
past Month (min)","12-17
past Month (max)","18-25
Estimate (past Month)","18-25
past Month (min)","18-25
past Month (max)","26 or Older
Estimate (past Month)","26 or Older
past Month (min)","26 or Older
 past Month (max)","18 or Older
Estimate (past Month)","18 or Older
past Month (min)","18 or Older
 past Month (max)"
1,Total U.S.,Past Year,"8,204","7,851","8,572",788,728,852,"2,556","2,433","2,685","4,859","4,561","5,177","7,416","7,074","7,774",past Month,"33,861","33,071","34,666","2,084","1,992","2,179","8,268","8,045","8,495","23,509","22,796","24,242","31,777","30,997","32,574"
2,Northeast,Past Year,"1,426","1,310","1,552",116,103,132,465,426,508,845,746,956,"1,310","1,197","1,433",past Month,"6,143","5,876","6,422",340,312,371,"1,546","1,456","1,639","4,257","4,001","4,527","5,803","5,539","6,079"
3,Midwest,Past Year,"1,710","1,587","1,842",173,155,193,548,506,593,989,886,"1,104","1,537","1,419","1,665",past Month,"6,797","6,534","7,067",430,400,462,"1,755","1,660","1,855","4,612","4,360","4,876","6,367","6,108","6,634"
4,South,Past Year,"2,728","2,550","2,919",275,247,306,851,789,918,"1,602","1,451","1,768","2,453","2,283","2,635",past Month,"10,766","10,384","11,162",712,661,767,"2,654","2,503","2,812","7,400","7,021","7,798","10,054","9,681","10,442"
5,West,Past Year,"2,339","2,165","2,527",223,196,254,692,637,751,"1,424","1,272","1,593","2,116","1,947","2,300",past Month,"10,154","9,762","10,556",602,555,651,"2,312","2,186","2,442","7,241","6,866","7,631","9,553","9,166","9,951"
6,Alabama,Past Year,125,98,159,9,7,13,39,31,49,77,55,106,116,90,149,past Month,434,372,506,26,21,33,104,88,122,304,249,370,408,347,479
7,Alaska,Past Year,22,17,27,2,2,3,6,5,8,13,10,18,20,15,25,past Month,110,98,123,6,5,7,22,19,25,82,71,95,104,92,117
8,Arizona,Past Year,191,150,242,20,15,27,61,47,78,110,79,153,171,133,220,past Month,765,660,885,43,34,56,170,143,200,552,458,664,722,618,840
9,Arkansas,Past Year,65,50,85,7,5,9,21,16,27,38,26,54,58,44,77,past Month,236,200,278,15,12,20,54,44,64,167,136,205,221,186,261
10,California,Past Year,"1,204","1,070","1,353",110,91,133,356,313,405,737,623,872,"1,093",964,"1,240",past Month,"5,034","4,741","5,341",314,278,354,"1,204","1,114","1,298","3,516","3,242","3,809","4,720","4,431","5,022"
11,Colorado,Past Year,240,195,296,20,15,28,69,55,85,151,113,201,220,176,274,past Month,924,826,"1,032",50,40,62,210,187,235,664,573,766,874,777,981
12,Connecticut,Past Year,83,65,107,7,5,10,31,24,39,46,31,66,76,58,100,past Month,434,378,496,24,19,30,111,96,127,299,249,357,410,356,471
13,Delaware,Past Year,28,22,35,2,2,3,8,6,10,17,12,24,25,19,32,past Month,118,103,134,7,6,8,28,24,31,83,70,99,111,96,127
14,District of Columbia,Past Year,30,24,38,1,1,2,8,6,10,21,15,28,28,22,36,past Month,114,101,128,3,3,4,29,25,33,82,70,95,111,98,125
15,Florida,Past Year,459,392,537,45,36,55,133,113,156,281,224,352,414,350,490,past Month,"2,093","1,924","2,279",114,98,132,454,413,497,"1,525","1,363","1,705","1,979","1,812","2,163"
16,Georgia,Past Year,218,176,269,22,17,29,72,57,91,124,92,168,196,156,246,past Month,899,794,"1,016",59,48,72,232,200,267,608,517,713,840,738,954
17,Hawaii,Past Year,36,28,47,3,2,4,9,7,12,24,17,34,33,25,44,past Month,136,117,158,7,5,9,25,21,30,104,87,125,130,111,151
18,Idaho,Past Year,39,30,50,5,4,7,12,9,15,22,15,31,34,26,44,past Month,148,127,172,12,9,15,37,31,43,100,82,121,136,116,159
19,Illinois,Past Year,326,274,387,34,27,43,103,86,122,189,146,243,292,242,350,past Month,"1,284","1,172","1,407",82,69,96,308,275,344,895,793,"1,008","1,203","1,093","1,322"
20,Indiana,Past Year,195,155,245,19,14,25,60,47,76,116,85,159,176,138,224,past Month,700,613,798,46,38,57,198,172,228,456,380,544,654,569,749
21,Iowa,Past Year,76,60,96,8,6,11,24,18,30,44,31,61,67,52,87,past Month,242,205,284,19,15,24,67,56,80,155,125,193,222,187,264
22,Kansas,Past Year,61,47,79,7,5,9,22,17,28,33,22,48,54,41,72,past Month,240,204,280,16,13,20,60,50,72,163,133,200,224,189,263
23,Kentucky,Past Year,117,92,149,11,8,15,31,24,40,75,55,103,106,82,136,past Month,425,368,489,24,19,30,91,76,108,311,260,369,401,346,464
24,Louisiana,Past Year,109,84,140,9,6,12,30,23,39,70,50,97,100,76,130,past Month,360,307,420,23,18,29,98,83,116,238,193,294,337,285,397
25,Maine,Past Year,42,33,54,3,3,5,12,9,15,27,19,37,39,30,50,past Month,220,195,248,11,9,13,44,39,50,165,142,191,209,184,236
